id,created_at,text
829163186007973889,2017-02-08 03:01:23,RT @PatDiMarco42: Loved every second of every game battling with these guys this season! Love you boys! #RBs #RiseUp https://t.co/GeM7jOy8uF
829139975505584128,2017-02-08 01:29:09,"""We've got to get past that game and not allow that disappointment to go into the off season.""

3 Takaways from DQ… https://t.co/eff8MQcek3"
829115047355965440,2017-02-07 23:50:06,"Take a look at photos of our new offensive coordinator, Steve Sarkisian. 

📸 - https://t.co/IZky376lNR https://t.co/qT9bvJOh3t"
829099527244247040,2017-02-07 22:48:25,"RT @DjTialavea_86: THANKYOU to my family, friends, and fans everywhere who supported myself and this great team this year! I sincerely appr…"
829097414581641216,2017-02-07 22:40:02,"We're just getting started. 

Falcons Playback | 6 PM ET | @FalconsATLCW https://t.co/HFaYmzchHH"
829088110638100481,2017-02-07 22:03:03,"""The foundation has been built. We're not backing off that one bit."" - Dan Quinn

Full Press Conference -… https://t.co/wUy0Bsr5l9"
829072278486855680,2017-02-07 21:00:09,"Robert Alford had a big night on Sunday. @DJShockley3 breaks down the @rockorocky pick-six. 

🎥 -… https://t.co/8LZFPcHLpM"
829066454477762561,2017-02-07 20:37:00,RT @LetItReign52: Grateful ‼️ .. Nothing compares to the experience I was blessed with. Amazing journey and season… https://t.co/TxwuFUOp78
829060173792739329,2017-02-07 20:12:03,"RT @FalconsKelsey: The Falcons have signed OL C. Bykowski, WR BJ Daniels, OL K. Graf, DE M.Ifedi, TE D. Griswold &amp; NT J. Staten to reserve/…"
829050141369913348,2017-02-07 19:32:11,RT @JayCar_11: Proud of my brothers! Love my friends and family! Couldn't thank my city and our fans enough!… https://t.co/AXNjrF4XtO
829049392669683713,2017-02-07 19:29:12,"We have hired Steve Sarkisian as offensive coordinator. 

DETAILS- https://t.co/cy2WloBgKr https://t.co/HHy5GbXyQe"
829039344165990400,2017-02-07 18:49:17,RT @andrewhirsh: Dimitroff: We will get Trufant done here very soon https://t.co/YE86BYo0Qg
829034890607865856,2017-02-07 18:31:35,"RT @FalconsKelsey: Quinn: Yes, the guys are leaving the locker room today, but they aren’t leaving the Brotherhood. The foundation has been…"
829032781711699969,2017-02-07 18:23:12,Head Coach Dan Quinn addresses the media. https://t.co/P46tw3B0uk
829013232702611456,2017-02-07 17:05:31,The Falcons have agreed with Steve Sarkisian to become Atlanta’s offensive coordinator.
829006877036052481,2017-02-07 16:40:16,"""I want to always remember this feeling because it sucks. This feeling will be my motivation, to be honest with you… https://t.co/MknDOMjlS3"
829005620552544257,2017-02-07 16:35:16,"""He told us today to feel the pain, but move on because we're going to be back here soon."" @DesmondTrufant on DQ https://t.co/HRVAGW2MWE"
829004630835261441,2017-02-07 16:31:20,"""The energy the fans had was amazing. I wanted this for them. The fans deserve a championship. I love the city of A… https://t.co/Iy6nZBP8IK"
829004062221811716,2017-02-07 16:29:05,"""There's a lot of good things here. You might not believe me but I'm already excited about next year."" -… https://t.co/sk4TzkQPSo"
829002614293528577,2017-02-07 16:23:20,"""The foundation has been set. It's a great foundation. This will be a really good team for a long time.""… https://t.co/vyJpmma9TT"
829000669512232960,2017-02-07 16:15:36,"""We can't be bitter all offseason. Let it sink in, then let it fuel your fire so we get back here."" - @bigdreams_Bo https://t.co/f8SyLJLBrf"
828999929972527104,2017-02-07 16:12:40,"""It's terrible but it builds confidence. We know we can get there. We know we can compete to get there."" -… https://t.co/g9fC3D6CEK"
828999464690053121,2017-02-07 16:10:49,"""We have to find a way to learn from this experience and build from it. Taking it one day at a time right now."" -… https://t.co/i1WiLg87Fg"
828998497332555784,2017-02-07 16:06:58,"""We have a lot of really young guys on our defense. We can only get better. We're no where near reaching our potent… https://t.co/kYKRlJuz3h"
828722294348472325,2017-02-06 21:49:26,RT @M_Ryan02: We came up short last night and my heart hurts for you Atlanta. Hats off to New England they… https://t.co/mIX4Tca7ni
828717335695519744,2017-02-06 21:29:44,RT @PatDiMarco42: Thankful for this Brotherhood and you amazing fans! Grateful for the experience and I know we will be back! #RiseUp
828653372232310785,2017-02-06 17:15:34,"RT @Matt_Bryant3: In a time when words are hard to come by, I want to say thank you to all the fans. The support was much appreciated! #Bro…"
828653332982013954,2017-02-06 17:15:24,"RT @LevineToilolo: Beyond thankful for the overwhelming support from all my family, friends, and falcons fans throughout the year! #RiseUp"
828653294864195584,2017-02-06 17:15:15,RT @RyanSchraeder73: https://t.co/p8oa7mBmRi
828626573435740160,2017-02-06 15:29:04,"We rise together and we fall together. We will continue to work to reach the ultimate goal.

Thank you for your sup… https://t.co/5nfbciP5Th"
828615265151754240,2017-02-06 14:44:08,RT @fullalove87: I know the pain of being helpless. I know the pain of giving everything and getting nothing. I know the pain of defeat. An…
828615150978605056,2017-02-06 14:43:41,RT @aujharris: It's hard to put into words what being so close to the top and falling short feels like.  The… https://t.co/Iz9KxNkNfQ
828604595148558337,2017-02-06 14:01:44,RT @GradyJarrett: Hurting for my City n for my brothers. I thank God for the opportunity but at this point there's nothing to do but to go…
828604564983119873,2017-02-06 14:01:37,RT @VicBeasley3: Some things in life you never FULLY UNDERSTAND!!! BUT in the midst of all God is still good! #thankuATL
828472498006147072,2017-02-06 05:16:50,RT @TGdadon1: Just want to say thank you for supporting us all year #Riseup #Brotherhood
828472485079310336,2017-02-06 05:16:47,RT @devontafreeman: Thank you to the greatest fans in the world. #backtowork #blessed
828472450312704000,2017-02-06 05:16:39,"RT @BenGarland63: My heart is crushed, but God has a plan for me. Blessed to play with the men on that team."
828444551777890306,2017-02-06 03:25:47,"We appreciate the unbelievable support. 

#InBrotherhood https://t.co/UV6FVLXJoM"
828442009522274305,2017-02-06 03:15:41,"OT. 

#InBrotherhood we fight. https://t.co/RgAVHrwnQS"
828439818438844416,2017-02-06 03:06:59,"Tie ball game. 

Let's do this.

NE 28 | ATL 28"
828436592712962049,2017-02-06 02:54:09,It's time to #RiseUp! https://t.co/7d13tMiyrM
828435416814645248,2017-02-06 02:49:29,"Goodness, #JetJones.

Goodness. https://t.co/OqZ8tOJl0e"
828434847907663876,2017-02-06 02:47:13,#EATFREE 🆓 https://t.co/SUgCmkJih8
828433665134845952,2017-02-06 02:42:31,"TD, Patriots. 

NE 20 | ATL 28 #SB51"
828433577658478595,2017-02-06 02:42:11,RT @FalconsKelsey: Tevin Coleman is questionable to return with an ankle injury
828430164820373504,2017-02-06 02:28:37,"NE settles for a FG. 

NE 12 | ATL 28"
828430074030473216,2017-02-06 02:28:15,GRADY GETS BRADY X3!!! https://t.co/gdOQWkj8ax
828429709369294849,2017-02-06 02:26:48,Jarrett gets to Brady again!!!!!! https://t.co/n2mBnEiGR4
828427743176040448,2017-02-06 02:19:00,"15 minutes away....

#RiseUp https://t.co/qX0Wiix261"
828425590483066880,2017-02-06 02:10:26,"LaRoy Reynolds recovers the NE onside kick. 

We take over at the NE 41. 

#RiseUp"
828424520562262021,2017-02-06 02:06:11,"Brady finds White for a score. 
Extra point is no good. 

NE 9 | ATL 28"
828422330489597952,2017-02-06 01:57:29,Mood: https://t.co/AXCzfIpmXK
828422162591608832,2017-02-06 01:56:49,"#MattyIce❄️ - 12/14, 193 yards, 2 TD, 158.3 passer rating.

#MattVP https://t.co/8JWuaHQBI7"
828421436880588800,2017-02-06 01:53:56,"TOUCHDOWN COLEMAN!!!!!!

MattyIce❄️ ➡️ Coleman for the score!

NE 3 | ATL 28 
#SB51 https://t.co/Ki4zWVw6UK"
828420706270584833,2017-02-06 01:51:02,SANUUUUUUUUUUUUUUUUUU! https://t.co/hMOPU6iFNA
828420400094773252,2017-02-06 01:49:49,#TURBOTAYLOR! https://t.co/C55dco6tYR
828419347269947392,2017-02-06 01:45:38,"Robert Alford is balling!

NE punts. 
#SB51 https://t.co/BGJLzkVfgT"
828416448825585667,2017-02-06 01:34:07,"We will receive to begin the second half. 

#SB51"
828415464862863361,2017-02-06 01:30:12,"ATL, are you ready for the second half?

#InBrotherhood https://t.co/mEPMZNU83j"
828410665161351168,2017-02-06 01:11:08,"Take a look at some of the top photos from the first half of #SB51. 

📸- https://t.co/ALiY15ZxFe https://t.co/OdCnvgezMR"
828408779582607360,2017-02-06 01:03:38,"Halfway there. 

#InBrotherhood https://t.co/KGwLNt5uNB"
828407026179047425,2017-02-06 00:56:40,RT @FalconsKelsey: De’Vondre Campbell is questionable to return with cramps.
828404596074622977,2017-02-06 00:47:01,"Hello world, meet Robert Alford.

@rockorocky with the 82-yard INT return for a TD.

NE 0 | ATL 21 https://t.co/km5nrI2zG1"
828404110475030530,2017-02-06 00:45:05,"PICK-SIX!!!!!!!!!!

ROBERT ALFORD!!!!!

#RiseUp https://t.co/wlRHvukRu2"
828403817586769924,2017-02-06 00:43:55,"Dion Lewis, meet Grady Jarrett. 

#RiseUp https://t.co/lB4UaVMru0"
828400588744372224,2017-02-06 00:31:05,"HOOOOOOOOOOOOOOOP there it is!

#RiseUp #InBrotherhood https://t.co/cRNof5QhcG"
828400235642834945,2017-02-06 00:29:41,"#MattVP! #MattVP! 

TOUCHDOWN HOOPER! 

NE 0 | ATL 14
#SB51 https://t.co/8NMioxbjlp"
828399241110364160,2017-02-06 00:25:44,#MattyIce❄️ ➡️ #TurboTaylor https://t.co/HbgOE39OyK
828398315154894849,2017-02-06 00:22:03,"ATL strikes first!

#RiseUp https://t.co/kGZiTYacQp"
828397174773862402,2017-02-06 00:17:31,"EAT FREEEEEEEEEEEEEEEEEEEEEE 🆓

NE 0 | ATL 7

#SB51 https://t.co/Zpk35ACon1"
828396794304458752,2017-02-06 00:16:01,"Falcons strike first!

TOUCHDOWN FREEMAN! https://t.co/UncBxCN8tt"
828396050645921793,2017-02-06 00:13:03,#EATFREE🆓
828395793937788928,2017-02-06 00:12:02,JULIOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO https://t.co/HaAvPs2vqt
828395103072972801,2017-02-06 00:09:18,"OUR BALL! 

Deion Jones strips it and Alford recovers!

#RiseUp https://t.co/BdMYGoOAor"
828394125175169024,2017-02-06 00:05:24,"Scoreless after 1. 

#SB51 https://t.co/YdxHFpD8OL"
828391190584315904,2017-02-05 23:53:45,"SACK AGAIN! 

Grady Jarrett gets to Brady and the Patriots are forced to punt. 

#RiseUp https://t.co/1jZPg2eAA0"
828390735359725568,2017-02-05 23:51:56,"SACK!

Upshaw gets to Brady! https://t.co/BAEhmvrbnW"
828388244593246209,2017-02-05 23:42:02,#EATFREE https://t.co/sD5MPetFAA
828387749648539648,2017-02-05 23:40:04,"DEION JONES!

3 and out for NE on their first drive. 

#SB51 https://t.co/DEhbkf94kV"
828386286411063296,2017-02-05 23:34:16,"The Falcons have won the toss and have elected to defer. 

New England will receive first. 

#SB51"
828385225113690113,2017-02-05 23:30:02,"The time is finally here. 

Let's do this!
#RiseUp https://t.co/xo4FyldJUx"
828383468778201088,2017-02-05 23:23:04,"ROLL CALL!

One last time this season, RT to show that you are #InBrotherhood. https://t.co/feas057iTW"
828380737942466560,2017-02-05 23:12:13,"This Brotherhood is real. 

#InBrotherhood https://t.co/ntdGvWGEeI"
828378301962010629,2017-02-05 23:02:32,Arthur Blank and Robert Kraft will make matching $51K charity donations. The winning owner chooses the charity.… https://t.co/5fMGgZbC0D
828377715292114944,2017-02-05 23:00:12,"Our boy @2chainz is in the building! Make sure you're following us on Snapchat!

👻 - falcons https://t.co/lOVK0J3AUL"
828376557286805505,2017-02-05 22:55:36,"Our time. 

#InBrotherhood https://t.co/msZSMM7TgB"
828374281541259264,2017-02-05 22:46:33,We didn't come this far just to come this far! #InBrotherhood #RiseUp https://t.co/09wTX6PgfN
828373623161421824,2017-02-05 22:43:56,"These are the moments you dream about as a kid. 

#InBrotherhood https://t.co/2VcTRIhTWO"
828372395299893251,2017-02-05 22:39:04,"Going ⬆️ on a Sunday. 

#SB51 https://t.co/p00T9xbsZZ"
828371275005452288,2017-02-05 22:34:37,#MattVP https://t.co/hi3oK0goZL
828370790299078657,2017-02-05 22:32:41,"Here we go. 

#SB51 https://t.co/JtD6wX7AMC"
828368787812532224,2017-02-05 22:24:44,"RT @brianbocek: For a signed MVP @M_Ryan02 helmet, tell me the total NET yards for ATL and NE combined. 

T\B is Falcons total NET passing…"
828368417887510529,2017-02-05 22:23:15,"Pregame rituals ✔️

#InBrotherhood https://t.co/MfhmoTbtXl"
828367324264669185,2017-02-05 22:18:55,Special message from @Usher to all Falcons fans! #RiseUp #SB51 https://t.co/G68SqhZx6y
828365738784223234,2017-02-05 22:12:37,"DQ takes the field for the first time today. 

#SB51 https://t.co/JeSR6dXh9i"
828358316329988096,2017-02-05 21:43:07,"Soon. 

#InBrotherhood https://t.co/2xxbQWdhma"
828355487431323649,2017-02-05 21:31:52,Patriots inactives ⬇️ https://t.co/efofGEqgt4
828355040439996416,2017-02-05 21:30:06,"Inactives for #SB51:

Nick Williams
Terron Ward
Blidi Wreh-Wilson
Dashon Goldson 
Josh Keyes
Wes Schweitzer 
DJ Tia… https://t.co/pUA25euqLB"
828349486963576834,2017-02-05 21:08:02,"Clocking in for work. 💼

#SB51 https://t.co/468ZxkSJtN"
828346776482611202,2017-02-05 20:57:16,"RT @ATLUTD: United #InBrotherhood

Bring it home, @AtlantaFalcons https://t.co/JDEOPWnD4N"
828342441258258433,2017-02-05 20:40:02,"Everything we're building is for this moment.

#InBrotherhood https://t.co/c9vcRaMbLO"
828338980915646467,2017-02-05 20:26:17,Devonta Freeman has entered the building. #EatFree #RiseUp #SB51 https://t.co/UvaFfEqHNP
828328059199696900,2017-02-05 19:42:53,Pre-game party = 🔥🔥#SB51 https://t.co/EUhjp3q1SX
828324824783007744,2017-02-05 19:30:02,"This city is ready. 

#InBrotherhood https://t.co/gGQ2N60EAV"
828317029287460867,2017-02-05 18:59:03,Our fans are already making NOISE outside our hotel as we get ready to head to NRG Stadium. #RiseUp #SB51 https://t.co/GaYBmL3FRP
828310981868523520,2017-02-05 18:35:02,"We chase the dream. We push each other forward. 

#InBrotherhood https://t.co/7bPYFKMxxF"
828296411288596480,2017-02-05 17:37:08,"RT @ATLHawks: GAME. DAY. Let's do this, @AtlantaFalcons!

#InBrotherhood https://t.co/zwYlBDBI9E"
828295394018807808,2017-02-05 17:33:05,"Are you #InBrotherhood today?

Make sure this is your Twitter Avatar to show that you're in. https://t.co/pALO9pMAI8"
828283309931114496,2017-02-05 16:45:04,"A City Awaits. 

We're ready, Atlanta. https://t.co/TrVUWw0AnX"
828268200093577218,2017-02-05 15:45:02,"We’ve waited so long for this.

#InBrotherhood https://t.co/0juXScnlnY"
828263168287793152,2017-02-05 15:25:02,"ATL is taking over Houston!

Make sure to visit Warehouse Live today before the game! https://t.co/TXbef5zjpv"
828258141552775168,2017-02-05 15:05:03,"Before the big game...

Go Inside the Locker Room on @FalconsATLCW at 11AM ET! #SB51 https://t.co/XVxpHus8NB"
828250592191459328,2017-02-05 14:35:03,"We've formed something our foes cannot calculate.

A Brotherhood. https://t.co/Asdf6yTqOc"
828239752692432898,2017-02-05 13:51:59,"This is it. 

Relive our journey in our ""Road to the Super Bowl."" Twitter Moment. #RiseUp

https://t.co/d8rwwHs3yy"
828231715122409473,2017-02-05 13:20:03,"We stand at the brink of the summit. 

We chase the dream. 
#RiseUp https://t.co/fnv9yohVSG"
828106140223315969,2017-02-05 05:01:03,"IT. IS. HERE. 

#SB51 GAME DAY. https://t.co/ZjtnzFMlnU"
828076946437255169,2017-02-05 03:05:03,"The world now knows what we knew all along. 

Matt Ryan is the MVP! 
📝 - https://t.co/etf0N3kqEt https://t.co/BdvyfhuKRS"
828073422437638144,2017-02-05 02:51:03,"@ATLHawks Hawks get another W and we have the MVP. 

#HawksHeadline #InBrotherhood"
828071458001846273,2017-02-05 02:43:15,"Family members of the team react to #MattyIce❄ winning MVP. 

#MattVP https://t.co/yMqdKuzXD0"
828068732425687041,2017-02-05 02:32:25,RT @HawksOnFSSE: .@ATLHawks fans go crazy after hearing @AtlantaFalcons QB Matt Ryan won the @NFL MVP! #RiseUp https://t.co/LL04oDtBA9
828063269134991360,2017-02-05 02:10:42,#InBrotherhood https://t.co/KvbxJKwAIM
828059273309540352,2017-02-05 01:54:50,"38 touchdowns and a passer rating of 117.1. 

Take a look back at Matt Ryan's journey.

#MattVP❄️ https://t.co/c9Kchul3mF"
828058008672309248,2017-02-05 01:49:48,"#MattVP! 

For the first time in franchise history, we have the AP MVP of the NFL. 

Congratulations, #MattyIce!❄️ https://t.co/Rfhivhm6Ra"
828050894012964864,2017-02-05 01:21:32,"Morten Andersen is heading to the Hall of Fame!

#NFLHonors https://t.co/6q4TGSAjXA"
828044752020910081,2017-02-05 00:57:07,"Offensive Coordinator Kyle Shanahan has been named NFL Assistant Coach of The Year!

#NFLHonors https://t.co/CyYxhXQBwi"
828042516138074112,2017-02-05 00:48:14,"Congratulations to the Offensive Player of the Year, Matt Ryan!

#NFLHonors https://t.co/NU7BTMrXsA"
828022850787217409,2017-02-04 23:30:06,"24 hours. 

This is it. 
#RiseUp https://t.co/U3VaTY83I1"
828015034957598720,2017-02-04 22:59:02,Not many players can say they reached a Super Bowl in their rookie year. @Keanu_Neal is grateful. https://t.co/jD2dtYxy7d
828007736868642816,2017-02-04 22:30:02,Get caught up on all the news and notes around #SB51! Tonight | 11 PM ET | @FalconsATLCW https://t.co/M7OC1yHzBs
827988862865534977,2017-02-04 21:15:02,"Road to the Super Bowl: Moment No. 1

One last ride in the Georgia Dome. https://t.co/LERFiqpviM"
827984361391792128,2017-02-04 20:57:09,RT @PatDiMarco42: RBs ready to show out in Houston #SuperBowlLI #RiseUp https://t.co/lGK6MCNb2u
827971258893504513,2017-02-04 20:05:05,"RT to wish C.J. Goodwin a happy birthday!

We hope it's a special weekend. https://t.co/vYnqmQWPsH"
827958827706351616,2017-02-04 19:15:41,RT @Falcons_PA: Our Rookies are soaking up every moment here in Houston! #RiseUp #SuperBowlLI #inbrotherhood https://t.co/KMIpXDJkb9
827948686332272640,2017-02-04 18:35:24,Congrats to @dkalxander and his son for winning a signed #EATFREE 🆓 jersey! https://t.co/uaocwXahdy
827948616945897472,2017-02-04 18:35:07,Shout-out to David &amp; Inna for sprinting to our #RiseUp sign for the #MattyIce❄ jersey! It's also David's birthday!… https://t.co/CuNMaEYORQ
827944154223218688,2017-02-04 18:17:23,"Falcons fans are taking over Houston! 

- born and raised in Georgia
- season ticket holder since 1982! 

#RiseUp https://t.co/mU5Bq8aOB9"
827943387227680770,2017-02-04 18:14:20,A signed #MattyIce jersey is still up for grabs for whoever can take a selfie with our #RiseUp sign! Here's another… https://t.co/SqOdJe7NNg
827940191977496580,2017-02-04 18:01:38,"A few more! For a signed #MattyIce❄ jersey, take a selfie at this Super Bowl Live location and send it to us!… https://t.co/8GCCDHMT9a"
827939921218433026,2017-02-04 18:00:34,Congrats to @miss_sici on winning a #JetJones ✈️ jersey! https://t.co/D2jrfvztYV
827939142046740480,2017-02-04 17:57:28,We're surprising fans walking around too! We heard Knight say he's rooting for us so he gets a Jake Matthews signed… https://t.co/k3pJLbwDPj
827935012263690240,2017-02-04 17:41:03,"Want a signed #JetJones✈ jersey? Find the Twitter board, take a selfie, and send it to us! https://t.co/91o1SUkLz0"
827931220642234372,2017-02-04 17:25:59,Congrats to @yaboyfletch &amp; his buddy for running to our #RiseUp sign and winning this signed #EatFree jersey! More… https://t.co/LLhse99jys
827928332859748352,2017-02-04 17:14:31,For a signed Devonta Freeman jersey... take a selfie with our Twitter board and tweet it at us! #RiseUp https://t.co/BdCHc4Z5an
