id,created_at,text
8.29E+17,2/8/2017 12:04,RT @R_Allen86: Shared many great moments during today's Parade. Huge s/o to everyone who attended. That was a memorable experience for all
8.29E+17,2/8/2017 12:04,RT @SweetFeet_White: The parade today was too much fun! The fans were awesome! https://t.co/hMHc5GdS8s
8.29E+17,2/8/2017 1:40,#nodaysoff
8.29E+17,2/8/2017 0:44,Want to see what it's like to be in #patriotsparade? Check out our Snap story w/ videos from the boats https://t.co/Ebk6jlaIVZ
8.29E+17,2/7/2017 23:46,No days off: @joecardona93 + @R_Allen86 long snapped and punted a football off their float during #patriotsparade! https://t.co/MvdOXhov8T
8.29E+17,2/7/2017 23:24,"Well, that was fun. #patriotsparade 5-time Super Bowl champions! https://t.co/enMivYgEOi "
8.29E+17,2/7/2017 21:54,#Patriots sign nine to future contracts: https://t.co/4xth9jSEMC
8.29E+17,2/7/2017 21:53,"1, 2, 3, 4, 5 trophies. hello, Providence! https://t.co/jdSfWe1yA0"
8.29E+17,2/7/2017 16:12,"See you soon, Boston! https://t.co/Fj90jcxnie"
8.29E+17,2/7/2017 15:04,RT @PATRIOTSdotCOM: https://t.co/fuqrt6GLL6 will be live streaming the #Patriots #SuperBowl Victory Parade starting at 11am ET.
8.29E+17,2/7/2017 14:51,"RT @DunkinDonutsCtr: @Patriots  Victory Rally today @DunkinDonutsCtr. Doors open at 3pm, Rally at 4pm. https://t.co/lIKbOZhhBg #itsatthedun"
8.29E+17,2/7/2017 13:17,"RT @WaltDisneyWorld: Thanks for 'running' the parade today at Magic Kingdom, @SweetFeet_White! #SB51 https://t.co/B901P973sr"
8.29E+17,2/7/2017 2:46,Now playing on @nflnetwork: the 4th quarter of #SB51.
8.29E+17,2/7/2017 2:11,Tomorrow: #Patriots Super Bowl parade in Boston! https://t.co/i8oRtzJaD7
8.29E+17,2/6/2017 23:02,#Patriots return home to @GilletteStadium:  https://t.co/j4THNZ6aW4
8.29E+17,2/6/2017 22:46,Back in Boston! Next stop: @GilletteStadium. https://t.co/j42zf85HGt
8.29E+17,2/6/2017 18:28,"Thanks for an unforgettable week, Houston! See you soon, #PatriotsNation! https://t.co/Mb2XS5TW6V"
8.29E+17,2/6/2017 17:36,RT @DunkinBoston: We saved the best for last! Theres nothing like an 87 cent coffee to wrap up the season after the big win! https://t.co/
8.29E+17,2/6/2017 16:48,"RT @PatriotsProShop: Get Your Super Bowl LI Champions Gear with Free Shipping ($50 min, US Only)  https://t.co/tA8EDsJG65 https://t.co/LTWv"
8.29E+17,2/6/2017 16:37,RT @RealLoganRyan: 2x World Champ https://t.co/x0vrGQNUq9 https://t.co/u6B3yQb0Gi
8.29E+17,2/6/2017 16:36,"RT @dandrews61: ""You're never out of the fight"""
8.29E+17,2/6/2017 16:36,RT @Edelman11: #patsnation we love you!!!!! coming home with another one! #wegotsomereallybigrings https://t.co/oba79tizks
8.29E+17,2/6/2017 16:33,RT @MartysaurusRex: Super Bowl Marty!!
8.29E+17,2/6/2017 16:32,RT @McCourtyTwins: Did u miss me???? (D-Mac) https://t.co/utuc3jpSXJ
8.29E+17,2/6/2017 16:32,RT @ChrisHogan_15: Somebody wake me up from this dream
8.29E+17,2/6/2017 13:53,#SuperBowl records for receptions and points scored last night = morning show interviews today. https://t.co/PsRHIBTINS
8.28E+17,2/6/2017 5:34,That's INCREDELMAN.  https://t.co/CYuE0CucVU
8.28E+17,2/6/2017 5:30,Another look at the game-winner:  https://t.co/PPqeBZX31f
8.28E+17,2/6/2017 4:27,https://t.co/mhJdfwFYAo
8.28E+17,2/6/2017 4:26,CHAMPS. CHAMPS. CHAMPS. CHAMPS. CHAMPS. https://t.co/TvLFbnUGb2
8.28E+17,2/6/2017 4:08,Win the Super Bowl postgame interview with Dad. https://t.co/apRzEZSC0P
8.28E+17,2/6/2017 3:53,Mood. https://t.co/us1zEtKZIh
8.28E+17,2/6/2017 3:48,The #Patriots are #SuperBowl champions! Gear up: https://t.co/70tMtliwX3 https://t.co/08OFg8D8cC
8.28E+17,2/6/2017 3:42,Super. Bowl. Champions. https://t.co/4mWWtUKGcw
8.28E+17,2/6/2017 3:26,#OneMore: #DriveFor5: https://t.co/Icqe9yvfGP
8.28E+17,2/6/2017 3:16,"#Patriots injury update: Dion Lewis, hamstring, return questionable."
8.28E+17,2/6/2017 3:15,#Patriots ball! https://t.co/gM7GgCCtED
8.28E+17,2/6/2017 3:14,Overtime.
8.28E+17,2/6/2017 3:07,Tom Brady just set the #SuperBowl yards and completions records on that drive.
8.28E+17,2/6/2017 3:06,TIE. GAME.
8.28E+17,2/6/2017 3:05,TOUCHDOWN!!!!!!! https://t.co/OGAvV4lril
8.28E+17,2/6/2017 3:00,https://t.co/yEcJ9fhegt
8.28E+17,2/6/2017 2:50,.@iii_flowers. AGAIN. https://t.co/HJAjSOdctt
8.28E+17,2/6/2017 2:48,".@DannyAmendola for 6, @sweetfeet_white for 2:  https://t.co/pOBQK2fPeB"
8.28E+17,2/6/2017 2:43,A little trickery on the two-point conversion and the #Patriots cut the lead to 28-20. #NEvsATL
8.28E+17,2/6/2017 2:41,'Dola. https://t.co/znmvK9j0EQ
8.28E+17,2/6/2017 2:38,BOOOOOOOOOMTOWER. https://t.co/2FSThfOBxc
8.28E+17,2/6/2017 2:31,"Gostkowski hits a 33-yard field goal. Score now 28-12, Falcons. https://t.co/7uqTGl3jYB"
8.28E+17,2/6/2017 2:17,3rd-down sack by @KVN_03 ; @iii_flowers #NEvsATL https://t.co/mgynz98yPB
8.28E+17,2/6/2017 2:06,Touchdown: @sweetfeet_white. https://t.co/jZ00BASXJN
8.28E+17,2/6/2017 1:40,Big return by @Edelman11. https://t.co/qjUKfflEMY
8.28E+17,2/6/2017 1:37,#Patriots defense forces a three-and-out to start the second half. #NEvsATL
8.28E+17,2/6/2017 1:04,Halftime. https://t.co/Yxew1Ruff5
